,id,location,name,link,location_new,x,y
12767,11876,"40.74980164,-73.99739838",337 West 29th Street,/building/337-west-29-street-manhattan,"['40.74980164', '-73.99739838']",40.74980164,-73.99739838
12768,11883,"40.74959946,-73.99639893",311 West 29th Street,/building/311-west-29-street-manhattan,"['40.74959946', '-73.99639893']",40.74959946,-73.99639893
12769,11886,"40.74940109,-73.99629974",305 West 29th Street,/other_property/305-west-29-street-manhattan,"['40.74940109', '-73.99629974']",40.74940109,-73.99629974
12770,11887,"40.74940109,-73.99610138",303 West 29th Street,/building/303-west-29-street-new_york,"['40.74940109', '-73.99610138']",40.74940109,-73.99610138
12771,1384662,"40.73529816,-74.0007019",7 Charles Street,/building/7-charles-street-new_york,"['40.73529816', '-74.0007019']",40.73529816,-74.0007019
12772,2894553,"40.73149872,-74.00219727",24 Cornelia Street,/building/24-cornelia-street-new_york,"['40.73149872', '-74.00219727']",40.73149872,-74.00219727
12773,1302479,"40.70640182,-74.01750183",55 Battery Place,/building/55-battery-place-new_york,"['40.70640182', '-74.01750183']",40.70640182,-74.01750183
12774,1306320,"40.73680115,-73.99099731",19 East 16th Street,/building/19-east-16-street-new_york,"['40.73680115', '-73.99099731']",40.73680115,-73.99099731
12775,1308114,"40.72249985,-73.99490356",232 Mott Street,/building/232-mott-street-new_york,"['40.72249985', '-73.99490356']",40.72249985,-73.99490356
12776,5988422,"40.70750046,-74.00289917",134 Beekman Street,/building/134-beekman-street-new_york,"['40.70750046', '-74.00289917']",40.70750046,-74.00289917
12777,322397,"40.71429825,-74.00779724",22 Warren Street,/building/22-warren-street-new_york,"['40.71429825', '-74.00779724']",40.71429825,-74.00779724
12778,322419,"40.71229935,-73.99299622",148 Madison Street,/building/148-madison-street-manhattan,"['40.71229935', '-73.99299622']",40.71229935,-73.99299622
12779,322453,"40.72140121,-73.99250031",12 Rivington Street,/building/12-rivington-street-manhattan,"['40.72140121', '-73.99250031']",40.72140121,-73.99250031
12780,322556,"40.71459961,-74.00710297",124 West 18th Street,/building/124-west-18-street-manhattan,"['40.71459961', '-74.00710297']",40.71459961,-74.00710297
12781,322582,"40.74079895,-73.98439789",122 East 25th Street,/building/122-east-25-street-new_york,"['40.74079895', '-73.98439789']",40.74079895,-73.98439789
12782,16318,"40.73260117,-73.98200226",277 First Avenue,/building/277-1-avenue-manhattan,"['40.73260117', '-73.98200226']",40.73260117,-73.98200226
12783,16338,"40.73389816,-73.98139954",346 East 18th Street,/building/346-east-18-street-manhattan,"['40.73389816', '-73.98139954']",40.73389816,-73.98139954
12784,16342,"40.73410034,-73.98190308",330 East 18th Street,/building/330-east-18th-street-new_york,"['40.73410034', '-73.98190308']",40.73410034,-73.98190308
12785,16345,"40.73419952,-73.98210144",324 East 18th Street,/building/324-east-18-street-manhattan,"['40.73419952', '-73.98210144']",40.73419952,-73.98210144
12786,16352,"40.7344017,-73.98249817",310 East 18th Street,/building/310-east-18-street-manhattan,"['40.7344017', '-73.98249817']",40.7344017,-73.98249817
12787,16441,"40.73529816,-73.98000336",347 First Avenue,/building/347-1-avenue-manhattan,"['40.73529816', '-73.98000336']",40.73529816,-73.98000336
